object_id,timeperiod,top_reasons,shap_max_rain,shap_mean_rain,shap_sum_rain,shap_mean_ndvi,shap_mean_ndbi,shap_sum_population,shap_sum_aged_population,shap_sum_young_population,shap_mean_sex_ratio,shap_total_hhd,shap_net_sown_area_in_hac,shap_schools_count,shap_health_centres_count,shap_road_length,shap_distance_from_river,shap_drainage_density,shap_elevation_mean,shap_slope_mean,shap_mean_cn,shap_impact
18-305-00130,2026-04-01,max_rain contributed -32%; mean_ndvi contributed -16%; sum_rain contributed -8%,-1.9132991,0.12713936,-0.47865131,-0.95984405,-0.4110027,-0.10297134,-0.019124461,0.0020672795,0.26309058,0.11947437,0.15310137,0.092022866,-0.07485407,0.15768662,-0.3224133,-0.24115784,0.20158221,0.03577112,0.0075830235,-0.20696305
18-305-00131,2026-04-01,max_rain contributed -22%; mean_ndvi contributed -20%; sum_rain contributed -12%,-1.3519919,-0.3946172,-0.7785759,-1.235971,-0.21491025,0.2622538,-0.33803308,-0.23670712,0.32746556,0.052689772,0.053323835,0.10271975,0.028496534,0.014360875,0.008282117,-0.11319599,0.13233386,-0.19631712,-0.12727217,-0.3101273
18-305-00132,2026-04-01,max_rain contributed -21%; mean_ndbi contributed -14%; health_centres_count contributed -9%,-1.2867177,0.060101103,-0.5574241,-0.27192453,-0.8482033,-0.24025396,-0.2991951,-0.08646913,0.17615445,-0.055115607,-0.0399412,-0.1375194,-0.57724917,-0.3066761,-0.56025636,0.07994176,-0.06379651,-0.14518753,-0.022694934,-0.3710821
18-305-00133,2026-04-01,max_rain contributed -25%; mean_ndbi contributed -15%; sum_rain contributed -12%,-1.2183146,-0.104598716,-0.6098621,-0.34389037,-0.7613887,-0.020813502,-0.25439453,-0.040570404,-0.16119377,0.008537991,-0.26062852,-0.051400326,-0.044472046,-0.043901067,-0.47210395,0.07223845,-0.060330253,-0.015475297,-0.004015374,-0.38482377
18-305-00134,2026-04-01,mean_rain contributed +19%; max_rain contributed -16%; mean_ndbi contributed -12%,-0.86999476,1.0482993,-0.59787893,0.57490337,-0.6801945,0.16531095,0.062098283,0.02177019,0.28210968,0.066963546,0.19061837,-0.08087791,-0.07716174,-0.07701842,0.09625928,-0.051858358,0.013485029,-0.18133067,0.11398498,-0.3042906
18-305-00135,2026-04-01,max_rain contributed -38%; mean_ndbi contributed -19%; mean_rain contributed -9%,-1.9339881,-0.44999427,-0.1120856,0.2577797,-0.96673095,-0.10519424,-0.048381023,-0.08930477,-0.17378964,-0.012515675,0.12711436,0.132819,-0.049592204,0.016753,0.097538054,-0.09574179,0.115124665,0.046860274,-0.07043324,-0.14956042
18-305-00136,2026-04-01,max_rain contributed -34%; mean_ndbi contributed -18%; mean_rain contributed -12%,-1.8843704,-0.6475768,-0.31203118,0.44322914,-0.9856099,-0.02697341,-0.14076105,-0.117938586,0.04040476,0.112544775,0.07028545,0.014590384,0.036985084,-0.047278978,0.0813284,-0.042573012,0.011762999,-0.23176846,-0.09932709,-0.16551834
18-306-00137,2026-04-01,mean_ndbi contributed -22%; max_rain contributed -21%; mean_ndvi contributed +9%,-1.0771638,0.42197484,0.35863483,0.46459565,-1.1355802,0.1310691,0.19850615,0.036222085,0.16200861,0.047057882,0.052510772,0.02635325,-0.15390173,0.13908964,0.092062294,0.08986404,0.1861452,0.043818254,0.08639432,-0.23879798
18-306-00138,2026-04-01,mean_ndbi contributed -26%; drainage_density contributed -15%; impact contributed -13%,0.014806662,-0.061345577,0.106887564,-0.07064609,-0.7469332,-0.17185955,-0.046073433,-0.052957747,0.027625233,0.07770023,0.19906932,0.09877554,-0.09948688,0.004272393,-0.0048572784,-0.4347408,0.20090562,-0.0047220974,0.12394744,-0.3664565
18-306-00139,2026-04-01,mean_ndbi contributed -31%; max_rain contributed -20%; mean_ndvi contributed +11%,-1.0178498,0.023579577,-0.23814625,0.57027996,-1.5833969,-0.014989315,0.025218949,-0.13288763,-0.04564339,0.034649666,-0.3148442,0.049643494,-0.019276237,-0.054434422,0.170074,0.012577571,-0.0030683407,-0.017671576,-0.36623865,-0.43697417
18-306-00140,2026-04-01,mean_ndbi contributed -24%; impact contributed -11%; sum_young_population contributed -11%,-0.09555849,-0.30313343,0.1451262,-0.05407568,-0.6809738,-0.0976209,-0.023374826,-0.3081328,0.0005065227,-0.11971405,-0.06416831,-0.066037655,-0.086710505,-0.07156066,0.031079924,-0.15191509,-0.14663002,-0.052795794,0.016047835,-0.32265157
18-307-00141,2026-04-01,max_rain contributed -36%; mean_ndvi contributed -13%; distance_from_river contributed -8%,-1.6428108,-0.115623824,-0.251772,-0.5876683,0.007922985,0.05274875,-0.20826744,-0.09435202,-0.3283391,0.022883875,0.11295768,-0.025521746,0.026242832,-0.08369693,-0.36361974,0.15325262,0.2488569,-0.013780842,0.08024189,-0.18001112
18-307-00142,2026-04-01,max_rain contributed -20%; mean_ndbi contributed -16%; sum_rain contributed -12%,-1.0215002,-0.34176624,-0.6163494,-0.5994854,-0.7940857,-0.18005823,-0.15708248,-0.1659761,-0.44928056,-0.0071779257,0.01828418,-0.023887623,0.010456544,0.036474388,0.058089938,0.19271654,0.10415809,-0.052193787,-0.0781191,-0.18916103
18-307-00143,2026-04-01,road_length contributed -15%; mean_ndbi contributed -11%; mean_sex_ratio contributed -8%,-0.42526317,0.39660186,-0.23513985,-0.4568652,-0.6286811,-0.25068095,-0.07849453,-0.07213858,-0.46038708,-0.20815472,-0.18902463,-0.0016112317,0.019877218,-0.8191257,-0.14006887,-0.4184744,-0.3258815,-0.11011174,-0.13589187,-0.270953
18-307-00144,2026-04-01,max_rain contributed +18%; sum_rain contributed +11%; mean_rain contributed -10%,0.7119798,-0.40193352,0.45094234,-0.10798919,-0.3927641,-0.1501767,-0.19771084,-0.3179074,-0.39191228,-0.015361959,-0.10807488,0.00021781062,0.013031706,-0.04634948,-0.1930432,-0.25480792,0.05716478,-0.006944172,-0.007774557,-0.19665688
18-307-00145,2026-04-01,mean_ndbi contributed -21%; mean_sex_ratio contributed -10%; sum_rain contributed +10%,-0.28124323,-0.15987545,0.37391025,-0.21075712,-0.7857271,-0.104369715,-0.0003938707,-0.07011299,-0.39884505,0.061534178,0.17648508,-0.15582015,0.08444382,0.07009467,0.023968665,0.30392873,0.20318612,0.027061293,0.029654633,-0.2889994
18-307-00146,2026-04-01,road_length contributed -14%; mean_ndbi contributed -12%; mean_ndvi contributed -12%,-0.031692,-0.10174589,-0.18194619,-0.36631104,-0.3761802,0.065628745,-0.03813518,-0.06545194,-0.29990757,0.01054842,-0.062505536,-0.10995288,0.057528183,-0.42820823,-0.06671716,0.22489949,0.19681019,0.013829681,-0.06750113,-0.33868968
18-307-00147,2026-04-01,sum_rain contributed -20%; mean_ndbi contributed -19%; mean_ndvi contributed -16%,0.041965928,0.3495683,-1.0412979,-0.8352515,-1.0019016,0.02117678,-0.030779088,-0.042262193,-0.25330764,-0.12186299,-0.15825558,0.14535804,0.0031648278,-0.23597829,0.01594617,0.26324773,0.21171808,0.01098348,0.070645444,-0.33477136
18-308-00148,2026-04-01,sum_rain contributed -19%; sum_aged_population contributed -18%; net_sown_area_in_hac contributed -12%,-0.28714275,-0.28363404,-2.0048678,-0.25528517,-0.41149896,-0.32295945,-1.8074692,0.08103517,0.08189322,-0.56664336,-1.2162983,-1.1803714,-0.36560175,-0.25087136,-0.09594179,0.07353701,-0.18364924,-0.5671393,0.024765123,-0.24676608
